city,rooms,square,price,link,township,title
Beograd,4,100.0,1400,https://www.nekretnine.rs/stambeni-objekti/stanovi/35-soban-100-m2-hadzi-milentijeva-1sprat-id11610/Nk_n1vfYBcj/,Neimar,"3.5 soban,100 m2, Hadži Milentijeva, 1.sprat ID#11610"
Beograd,4,148.0,1800,https://www.nekretnine.rs/stambeni-objekti/stanovi/4-soban-148-m2-dedinje-kod-belog-dvora-id11627/NkZcEx3sudC/,Dedinje (Beli dvor),"4 soban, 148 m2 - Dedinje, kod Belog dvora ID#11627"
Beograd,0.5,31.0,220,https://www.nekretnine.rs/stambeni-objekti/stanovi/garsonjera-namestena-zarkovo-centar/NkCMjG58aE1/,Žarkovo,"Garsonjera , nameštena, Žarkovo centar"
Beograd,3,85.0,1700,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru30-garaza/NkCC_3k2utv/,Vračar (Hram),Izdavanje luksuznih stanova na Vracaru/3.0 /garaza
Beograd,3,102.0,1700,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova30-novogradnja-garaza/NkPbQCd849r/,Vračar (Hram),Izdavanje luksuznih stanova/3.0/ novogradnja/ garaza
Beograd,2,55.0,1300,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-u-beogradu-na-vodi--20--garaza-terraces/NkZFZLgHOpe/,Beograd na vodi,Izdavanje luksuznih stanova u Beogradu na vodi / 2.0 / garaza - TERRACES
Beograd,2,43.0,1200,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-novom-beogradu--20--garaza-sakura-park/Nkqno-LEyXx/,Novi Beograd Blok 58,Izdavanje luksuznih stanova na Novom Beogradu / 2.0 / garaza - SAKURA PARK
Beograd,2,74.0,1700,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-novom-beogradu--20--2-garazna-wellport/NkZS0oMTfhG/,Novi Beograd Blok 65,Izdavanje luksuznih stanova na Novom Beogradu / 2.0 / 2 garazna - WELLPORT
Beograd,3,95.0,1900,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--30--garaza-hram/Nk9mwWZfOYM/,Vračar (Hram),Izdavanje luksuznih stanova na Vracaru / 3.0 / garaza - HRAM
Beograd,3,92.0,1750,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--30--penthaus/NkQ7WL4VcgT/,Kalenić pijaca,Izdavanje luksuznih stanova na Vracaru / 3.0 / Penthaus
Beograd,4,170.0,2300,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--dvoriste-100m2/Nk1WHdFk6Px/,Vračar (Hram),Izdavanje luksuznih stanova na Vracaru / 4.0 / DVORISTE 100m2
Beograd,4,125.0,2000,https://www.nekretnine.rs/stambeni-objekti/stanovi/prestizan-dizajn-i-udobnost-40-hram/NkbTMWwEqRu/,Vračar (Hram),Prestizan dizajn i udobnost/ 4.0 -HRAM
Beograd,4,240.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--2-garazna-kalenic/NkNeRpzYPNu/,Vračar (Centar),Izdavanje luksuznih stanova na Vracaru / 4.0 / 2 garazna - Kalenic
Beograd,4,236.0,2200,https://www.nekretnine.rs/stambeni-objekti/stanovi/vrhunski-luksuz-i-estetika--40--vracar/NkeucJVKPZC/,Vračar (Centar),Vrhunski luksuz i estetika / 4.0 / Vracar
