city,rooms,total_price,link,condition,heating,township,place,street
Novi Sad,2.0,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/rumenacka/6256a4a865772b74e65dec49,namešteno,centralno,Gradske lokacije,Nova Detelinara,Rumenačka
Novi Sad,0.5,200,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/janka-cmelika/6256a19af436215ffe5b1ae3,namešteno,centralno,Gradske lokacije,Nova Detelinara,Janka Čmelika
Beograd,3.0,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/budimska/5f6883ebc78114735b7ee483,,,Stari Grad opština,Beograd centar,Budimska
Beograd,4.0,3000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tresnjinog-cveta/5f85929a8de3611dd90bb323,,,Novi Beograd,Hotel YU,Trešnjinog Cveta
Beograd,4.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/drziceva/60115faf17281e7d9f7588fa,,,Zvezdara opština,Zvezdara,Držićeva
Beograd,3.0,2100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tresnjinog-cveta/6037a906e9eb3b709869e983,,,Novi Beograd,Hotel YU,Trešnjinog Cveta
Beograd,4.0,2400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tresnjinog-cveta/60cb26ebfeb32a0a5b643fb3,,,Novi Beograd,Hotel YU,Trešnjinog Cveta
Beograd,3.0,1550,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vudroa-vilsona/616e68ea9a086522467cfdc3,,,Savski Venac,Savamala,Vudroa Vilsona
Beograd,4.0,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/visokog-stevana/61e01394cd4d813a85052b73,,,Stari Grad opština,Beograd centar,Visokog Stevana
Beograd,3.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/cara-nikolaja-ii/61fbb707bbcf8a184d168743,,,Vračar,Vračar,Cara Nikolaja Ii
Beograd,2.0,450,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-crvene-armije/62553afe1d1dca3d951dca83,,,Novi Beograd,Blok 67 - Belville,Bulevar Crvene Armije
Niš,2.5,500,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/palilula/6250252e69cc97468b3ef6f3,,,Gradske lokacije,Gradske lokacije,Palilula
Niš,1.0,200,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/palilula/62540bd778801363eb2285b8,,,Gradske lokacije,Gradske lokacije,Palilula
Novi Sad,3.0,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/podbara/61eebace32e0163e81530fae,polunamešteno,na gas,Gradske lokacije,Gradske lokacije,Podbara
Beograd,5.0,1500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/centar/5fa6becc9a30912565196ba3,namešteno,centralno,Stari Grad opština,Gornji Dorćol,Centar
Beograd,4.0,1800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/621d2b28f4388c0815784885,polunamešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,2.0,1700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tadije-sondermajera/625685212ee96d27dc109d85,namešteno,centralno,Novi Beograd,Blok 65,Tadije Sondermajera
Beograd,3.0,800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-kralja-aleksandra/62458a15c5d9166985740466,namešteno,centralno,Zvezdara opština,Lion,Bulevar Kralja Aleksandra
Novi Sad,3.0,350,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/pavla-ivica/624c5bec5b701f42cb15d5c4,polunamešteno,etažno,Gradske lokacije,Jugovićevo,Pavla Ivića
Beograd,2.0,600,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vojvode-stepe/62037af747dfbc1b35333859,namešteno,centralno,Voždovac opština,Voždovačka crkva,Vojvode Stepe
Novi Sad,2.0,400,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/zarka-vasiljevica/625032f9a824d63abf7e5a73,namešteno,centralno,Gradske lokacije,Novi Sad - Centar,Žarka Vasiljevića
Beograd,4.0,1850,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/621ce1022199f20f606b5e83,polunamešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Beograd,2.0,300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/ugrinovacki-put/625587332d5f387c837c8463,namešteno,etažno,Zemun opština,Altina,Ugrinovački Put
Novi Sad,1.5,280,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/sajmiste/61b0dea93005fd1107070843,namešteno,centralno,Gradske lokacije,Gradske lokacije,Sajmište
Beograd,3.0,2100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/621dfb11f9da435e234f0955,polunamešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,2.0,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/61bf8d2557c15f1aa7370cd0,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
